id,age,job,marital,education,balance,housing,loan,contact
1848,29,technician,single,tertiary,433,yes,no,unknown
1849,38,technician,married,secondary,9,yes,no,unknown
1850,29,management,married,tertiary,-6,yes,no,unknown
1851,28,blue-collar,single,secondary,-197,yes,no,unknown
1852,41,blue-collar,single,secondary,184,yes,no,unknown
1853,43,blue-collar,married,primary,336,yes,no,unknown
1854,43,blue-collar,single,primary,36,yes,no,unknown
1855,37,technician,married,secondary,277,yes,no,unknown
1856,46,blue-collar,divorced,primary,452,yes,no,unknown
1857,53,blue-collar,married,secondary,-135,yes,no,unknown
1858,28,blue-collar,single,secondary,7,yes,yes,unknown
1859,41,admin.,married,secondary,442,yes,yes,unknown
1860,36,blue-collar,married,secondary,590,yes,no,unknown
1861,37,technician,married,tertiary,447,yes,no,unknown
1862,38,blue-collar,married,secondary,49,yes,no,unknown
1863,32,technician,married,secondary,1118,yes,yes,unknown
1864,33,blue-collar,divorced,primary,390,yes,no,unknown
1865,28,technician,single,secondary,-125,yes,no,unknown
1866,52,blue-collar,divorced,primary,-97,yes,yes,unknown
1867,30,blue-collar,single,secondary,18,no,no,unknown
1868,37,blue-collar,married,secondary,131,yes,no,unknown
1869,27,technician,single,secondary,527,yes,no,unknown
1870,31,services,married,secondary,1129,yes,no,unknown
1871,47,management,divorced,tertiary,266,yes,no,unknown
1872,33,blue-collar,single,secondary,687,yes,no,unknown
1873,46,blue-collar,married,primary,1726,yes,yes,unknown
1874,38,blue-collar,married,secondary,-388,yes,no,unknown
1875,33,blue-collar,single,primary,92,yes,no,unknown
1876,44,blue-collar,married,primary,-11,yes,no,unknown
1877,35,management,married,tertiary,1510,yes,no,unknown
1878,38,blue-collar,married,secondary,171,yes,no,unknown
1879,56,blue-collar,married,primary,420,yes,no,unknown
1880,33,technician,single,secondary,513,yes,no,unknown
1881,45,services,married,primary,137,yes,no,unknown
1882,30,services,married,primary,21,yes,no,unknown
1883,34,admin.,married,secondary,-312,yes,no,unknown
1884,32,blue-collar,married,secondary,-208,yes,yes,unknown
1885,32,blue-collar,single,secondary,2,no,no,unknown
1886,27,admin.,married,secondary,1033,yes,no,unknown
1887,48,unemployed,married,secondary,855,yes,no,unknown
1888,54,blue-collar,married,primary,781,yes,no,unknown
1889,29,technician,single,tertiary,542,yes,no,unknown
1890,37,blue-collar,divorced,secondary,-175,yes,no,unknown
1891,26,entrepreneur,married,tertiary,79,yes,yes,unknown
1892,43,management,married,secondary,3,yes,no,unknown
1893,31,blue-collar,married,secondary,4471,yes,no,unknown
1894,55,technician,married,secondary,2313,yes,no,unknown
1895,45,services,single,secondary,-139,yes,no,unknown
1896,35,technician,single,secondary,300,yes,no,unknown
1897,57,self-employed,married,tertiary,-3313,yes,yes,unknown
1898,49,blue-collar,married,primary,352,yes,no,unknown
1899,23,services,single,secondary,105,yes,yes,unknown
1900,49,housemaid,divorced,primary,164,yes,no,unknown
1901,35,management,single,tertiary,-202,yes,no,unknown
1902,38,technician,single,tertiary,-256,yes,no,unknown
1903,39,entrepreneur,married,secondary,1261,yes,no,unknown
1904,27,self-employed,single,tertiary,-503,yes,no,unknown
1905,37,blue-collar,married,secondary,790,no,no,unknown
1906,57,management,married,secondary,0,yes,no,unknown
1907,38,entrepreneur,single,tertiary,638,yes,no,unknown
1908,26,technician,married,secondary,47,yes,no,unknown
1909,46,entrepreneur,married,unknown,242,yes,no,unknown
1910,44,admin.,married,secondary,469,yes,no,unknown
1911,44,blue-collar,married,primary,271,yes,yes,unknown
1912,28,blue-collar,married,secondary,948,yes,no,unknown
1913,37,admin.,married,secondary,-356,no,yes,unknown
1914,43,technician,single,secondary,336,yes,no,unknown
1915,25,admin.,single,secondary,61,yes,no,unknown
1916,34,blue-collar,single,primary,359,yes,no,unknown
1917,39,blue-collar,married,primary,105,yes,no,unknown
1918,35,management,single,secondary,6809,yes,no,unknown
1919,32,services,married,secondary,59,yes,yes,unknown
1920,31,services,married,secondary,0,no,yes,unknown
1921,42,blue-collar,married,primary,0,yes,no,unknown
1922,31,blue-collar,single,secondary,216,yes,no,unknown
1923,30,technician,single,tertiary,2530,yes,no,unknown
1924,29,admin.,single,secondary,356,yes,no,unknown
1925,29,admin.,single,secondary,-228,yes,no,unknown
1926,36,blue-collar,married,secondary,198,yes,no,unknown
1927,41,services,married,secondary,510,yes,no,unknown
1928,37,blue-collar,single,secondary,223,yes,no,unknown
1929,32,management,single,tertiary,4,yes,no,unknown
1930,39,entrepreneur,married,tertiary,338,yes,no,unknown
1931,31,management,single,tertiary,0,yes,no,unknown
1932,33,blue-collar,single,secondary,328,yes,no,unknown
1933,30,technician,single,tertiary,255,yes,no,unknown
1934,24,student,single,secondary,304,no,no,unknown
1935,55,blue-collar,married,secondary,-256,yes,yes,unknown
1936,27,services,single,secondary,683,yes,no,unknown
1937,47,management,divorced,tertiary,84,yes,no,unknown
1938,29,blue-collar,married,primary,608,yes,no,unknown
1939,56,management,married,secondary,230,no,no,unknown
1940,31,management,single,tertiary,12,yes,no,unknown
1941,46,blue-collar,married,primary,881,yes,no,unknown
1942,47,technician,single,unknown,77,yes,no,unknown
1943,29,student,single,secondary,510,yes,no,unknown
1944,35,admin.,divorced,tertiary,1555,yes,no,unknown
1945,31,services,single,secondary,68,yes,no,unknown
1946,29,admin.,single,secondary,43,yes,no,unknown
1947,48,admin.,divorced,unknown,244,yes,no,unknown
1948,59,blue-collar,married,secondary,1376,no,yes,unknown
1949,44,management,married,tertiary,392,yes,no,unknown
1950,30,admin.,single,tertiary,-396,yes,no,unknown
1951,50,blue-collar,married,primary,89,yes,no,unknown
1952,25,admin.,married,secondary,10,yes,no,unknown
1953,32,blue-collar,married,secondary,150,yes,no,unknown
1954,49,blue-collar,married,primary,1387,yes,yes,unknown
1955,38,admin.,married,secondary,253,yes,no,unknown
1956,29,blue-collar,single,secondary,853,yes,no,unknown
1957,51,management,married,tertiary,91,yes,no,unknown
1958,29,blue-collar,single,secondary,348,yes,no,unknown
1959,32,admin.,divorced,secondary,43,yes,no,unknown
1960,43,unemployed,married,primary,-178,yes,no,unknown
1961,34,blue-collar,married,secondary,2137,no,no,unknown
1962,37,blue-collar,married,primary,1160,yes,no,unknown
1963,29,admin.,single,secondary,3986,yes,no,unknown
1964,39,services,single,secondary,126,yes,no,unknown
1965,34,blue-collar,married,secondary,6411,yes,yes,unknown
1966,28,technician,married,secondary,655,yes,no,unknown
1967,37,blue-collar,married,primary,2378,yes,no,unknown
1968,29,blue-collar,married,secondary,15,yes,yes,unknown
1969,25,admin.,single,secondary,96,yes,no,unknown
1970,33,blue-collar,married,primary,191,yes,no,unknown
1971,34,admin.,single,secondary,391,yes,no,unknown
1972,50,blue-collar,divorced,primary,31,yes,no,unknown
1973,35,blue-collar,married,secondary,73,no,no,unknown
1974,53,management,divorced,tertiary,0,no,no,unknown
1975,41,blue-collar,single,primary,156,yes,no,unknown
1976,48,blue-collar,married,primary,231,yes,no,unknown
1977,32,blue-collar,single,secondary,-83,yes,no,unknown
1978,38,self-employed,married,secondary,138,no,no,unknown
1979,57,blue-collar,married,secondary,221,yes,no,unknown
1980,50,management,married,tertiary,3284,yes,no,unknown
1981,40,management,married,tertiary,4190,no,no,unknown
1982,45,management,single,tertiary,5694,yes,no,unknown
1983,34,blue-collar,single,secondary,297,yes,no,unknown
1984,32,blue-collar,married,primary,-89,yes,no,unknown
1985,28,admin.,single,secondary,244,yes,no,unknown
1986,30,services,married,secondary,152,yes,no,unknown
1987,41,management,single,tertiary,1696,yes,no,unknown
1988,36,blue-collar,married,unknown,714,no,no,unknown
1989,49,services,divorced,secondary,315,yes,no,unknown
1990,32,self-employed,married,tertiary,312,yes,no,unknown
1991,53,management,married,tertiary,913,yes,no,unknown
1992,44,unemployed,married,secondary,-407,yes,no,unknown
1993,34,entrepreneur,divorced,tertiary,338,yes,no,unknown
1994,56,admin.,divorced,secondary,-435,yes,yes,unknown
1995,27,technician,single,secondary,769,yes,no,unknown
1996,32,blue-collar,married,secondary,120,yes,yes,unknown
1997,43,blue-collar,single,primary,0,no,no,unknown
1998,34,admin.,divorced,primary,9569,yes,no,unknown
1999,35,self-employed,married,secondary,351,yes,no,unknown
2000,28,admin.,married,secondary,2,yes,no,unknown
2001,52,management,married,primary,226,yes,no,unknown
2002,36,blue-collar,married,primary,95,yes,no,unknown
2003,35,management,single,tertiary,123,yes,no,unknown
2004,30,admin.,married,secondary,15,yes,no,unknown
2005,23,management,single,unknown,375,yes,no,unknown
2006,37,entrepreneur,divorced,secondary,1190,yes,no,unknown
2007,29,services,single,secondary,487,yes,yes,unknown
2008,28,self-employed,single,secondary,123,yes,no,unknown
2009,56,services,divorced,tertiary,2272,yes,no,unknown
2010,27,admin.,married,secondary,133,yes,yes,unknown
2011,33,blue-collar,single,primary,447,yes,no,unknown
2012,53,blue-collar,married,primary,-864,yes,no,unknown
2013,47,blue-collar,married,secondary,8,no,no,unknown
2014,50,services,married,secondary,107,yes,no,unknown
2015,31,admin.,single,secondary,620,no,no,unknown
2016,31,blue-collar,married,secondary,42,yes,no,unknown
2017,37,management,married,tertiary,-120,yes,no,unknown
2018,37,management,single,tertiary,493,yes,no,unknown
2019,48,unemployed,married,primary,296,yes,no,unknown
2020,31,management,single,tertiary,6248,yes,no,unknown
2021,34,technician,married,secondary,484,no,no,unknown
2022,32,blue-collar,single,primary,12,yes,no,unknown
2023,54,management,married,tertiary,154,no,no,unknown
2024,31,management,single,tertiary,606,yes,no,unknown
2025,55,services,married,secondary,560,yes,no,unknown
2026,27,blue-collar,married,secondary,564,yes,no,unknown
2027,36,blue-collar,married,secondary,771,yes,no,unknown
2028,33,technician,married,secondary,0,yes,yes,unknown
2029,43,blue-collar,married,primary,757,yes,no,unknown
2030,42,blue-collar,married,secondary,333,yes,no,unknown
2031,48,blue-collar,married,primary,418,yes,no,unknown
2032,41,admin.,single,secondary,-256,no,yes,unknown
2033,36,technician,married,secondary,494,yes,no,unknown
2034,32,services,single,secondary,85,yes,no,unknown
2035,58,management,single,unknown,127,yes,no,unknown
2036,40,services,married,secondary,69,yes,no,unknown
2037,31,management,married,tertiary,713,yes,no,unknown
2038,42,blue-collar,married,primary,-10,yes,no,unknown
2039,34,blue-collar,divorced,secondary,-294,yes,no,unknown
2040,34,technician,married,secondary,222,yes,no,unknown
2041,35,technician,married,unknown,86,yes,no,unknown
2042,57,management,divorced,secondary,0,yes,yes,unknown
2043,28,blue-collar,married,primary,26,no,no,unknown
2044,50,technician,married,secondary,103,yes,no,unknown
2045,46,self-employed,married,tertiary,-80,yes,no,unknown
2046,28,blue-collar,married,secondary,131,yes,no,unknown
2047,57,unknown,married,unknown,106,no,no,unknown
2048,49,admin.,married,secondary,15,no,no,unknown
2049,56,management,single,tertiary,4542,no,no,unknown
2050,56,blue-collar,married,secondary,172,yes,no,unknown
2051,49,management,divorced,tertiary,0,yes,no,unknown
2052,50,management,married,tertiary,107,yes,no,unknown
2053,47,admin.,single,secondary,15,no,no,unknown
2054,45,blue-collar,married,primary,101,yes,no,unknown
2055,44,unemployed,married,secondary,304,yes,no,unknown
2056,51,blue-collar,married,tertiary,7816,yes,no,unknown
2057,34,blue-collar,married,secondary,0,yes,no,unknown
2058,25,management,married,tertiary,784,yes,yes,unknown
2059,30,blue-collar,married,primary,2581,no,no,unknown
2060,39,unemployed,divorced,secondary,507,yes,no,unknown
2061,25,student,married,tertiary,333,yes,no,unknown
2062,34,admin.,divorced,secondary,-220,yes,yes,unknown
2063,25,blue-collar,single,secondary,249,yes,no,unknown
2064,33,blue-collar,married,secondary,-257,yes,no,unknown
2065,44,services,divorced,secondary,210,no,yes,unknown
2066,55,retired,married,secondary,18722,yes,no,unknown
2067,54,admin.,married,secondary,42,yes,no,unknown
2068,43,unemployed,married,secondary,210,yes,no,unknown
2069,35,blue-collar,married,secondary,325,no,no,unknown
2070,27,services,single,secondary,123,yes,no,unknown
2071,42,blue-collar,married,primary,-25,yes,no,unknown
2072,40,technician,married,secondary,66,yes,no,unknown
2073,31,blue-collar,married,primary,0,yes,yes,unknown
2074,29,technician,married,tertiary,409,yes,no,unknown
2075,49,technician,married,secondary,4785,no,no,unknown
2076,59,retired,divorced,primary,121,yes,no,unknown
2077,37,management,married,tertiary,0,yes,no,unknown
2078,60,blue-collar,married,unknown,231,yes,no,unknown
2079,25,technician,single,secondary,1135,yes,no,unknown
2080,28,admin.,married,secondary,-201,yes,no,unknown
2081,40,services,single,secondary,-278,yes,no,unknown
2082,43,technician,single,tertiary,16,yes,no,unknown
2083,51,blue-collar,married,primary,-283,yes,no,unknown
2084,28,admin.,single,secondary,-103,yes,no,unknown
2085,54,management,married,primary,113,no,no,unknown
2086,37,blue-collar,married,secondary,194,yes,no,unknown
2087,35,self-employed,married,tertiary,247,yes,no,unknown
2088,26,management,divorced,tertiary,-402,no,yes,unknown
2089,55,services,single,secondary,-40,yes,no,unknown
2090,57,unemployed,married,secondary,3867,yes,no,unknown
2091,39,blue-collar,divorced,secondary,36,yes,no,unknown
2092,36,services,married,tertiary,2167,yes,yes,unknown
2093,35,management,single,tertiary,243,yes,no,unknown
2094,33,blue-collar,married,primary,2,yes,yes,unknown
2095,40,services,single,secondary,737,yes,no,unknown
2096,31,technician,married,secondary,286,no,no,unknown
2097,32,management,single,tertiary,311,no,no,unknown
2098,27,management,single,tertiary,541,yes,no,unknown
2099,31,services,single,secondary,2963,yes,no,unknown
2100,28,blue-collar,single,secondary,-871,yes,no,unknown
2101,33,blue-collar,divorced,secondary,75,yes,yes,unknown
2102,31,blue-collar,single,secondary,2597,yes,no,unknown
2103,25,services,married,secondary,-454,yes,no,unknown
2104,29,technician,married,secondary,0,no,no,unknown
2105,47,blue-collar,married,primary,304,yes,no,unknown
2106,59,blue-collar,divorced,primary,220,yes,no,unknown
2107,35,management,single,tertiary,561,yes,no,unknown
2108,33,blue-collar,married,primary,211,yes,no,unknown
2109,31,management,single,tertiary,4509,yes,no,unknown
2110,42,management,single,tertiary,196,yes,no,unknown
2111,26,technician,single,secondary,124,yes,no,unknown
2112,34,blue-collar,single,secondary,381,yes,no,unknown
2113,31,admin.,married,secondary,184,yes,no,unknown
2114,30,blue-collar,single,unknown,-149,yes,yes,unknown
2115,54,admin.,married,unknown,-337,yes,no,unknown
2116,52,blue-collar,single,primary,210,yes,no,unknown
2117,40,blue-collar,divorced,primary,737,yes,yes,unknown
2118,56,blue-collar,divorced,secondary,75,yes,no,unknown
2119,25,student,single,tertiary,641,yes,no,unknown
2120,60,retired,married,secondary,78,yes,no,unknown
2121,43,blue-collar,married,primary,1558,yes,no,unknown
2122,32,entrepreneur,married,unknown,227,yes,no,unknown
2123,48,blue-collar,divorced,secondary,602,yes,no,unknown
2124,43,self-employed,single,secondary,798,yes,no,unknown
2125,37,technician,married,secondary,1047,yes,yes,unknown
2126,52,services,divorced,primary,111,yes,no,unknown
2127,25,services,single,secondary,-439,yes,no,unknown
2128,31,entrepreneur,single,tertiary,37,yes,no,unknown
2129,35,blue-collar,married,secondary,362,yes,no,unknown
2130,27,admin.,single,secondary,1,yes,no,unknown
2131,41,self-employed,married,secondary,304,yes,no,unknown
2132,34,technician,single,secondary,-89,yes,no,unknown
2133,55,technician,married,secondary,276,yes,no,unknown
2134,26,blue-collar,married,secondary,288,yes,no,unknown
2135,36,blue-collar,married,primary,650,yes,no,unknown
2136,45,admin.,married,secondary,171,yes,no,unknown
2137,27,technician,married,secondary,-302,yes,no,unknown
2138,31,admin.,married,secondary,337,no,no,unknown
2139,29,admin.,divorced,secondary,891,no,no,unknown
2140,26,blue-collar,single,secondary,199,yes,yes,unknown
2141,46,services,married,secondary,997,yes,no,unknown
2142,32,entrepreneur,married,tertiary,108,yes,yes,unknown
2143,25,admin.,single,tertiary,40,no,no,unknown
2144,54,retired,married,primary,208,no,no,unknown
2145,31,technician,married,secondary,6890,yes,no,unknown
2146,33,admin.,single,secondary,395,yes,no,unknown
2147,28,technician,single,tertiary,-214,yes,no,unknown
2148,39,admin.,single,secondary,496,yes,no,unknown
2149,37,technician,married,secondary,183,yes,no,unknown
2150,36,blue-collar,married,primary,199,yes,no,unknown
2151,56,admin.,divorced,primary,179,yes,no,unknown
2152,59,retired,married,secondary,434,yes,no,unknown
2153,30,services,single,secondary,122,yes,no,unknown
2154,59,technician,married,secondary,371,yes,no,unknown
2155,27,blue-collar,single,secondary,3675,no,no,unknown
2156,29,entrepreneur,single,tertiary,11,yes,no,unknown
2157,48,services,married,secondary,194,yes,yes,unknown
2158,44,blue-collar,married,secondary,23,yes,no,unknown
2159,33,management,single,tertiary,1011,yes,no,unknown
2160,39,blue-collar,single,primary,446,yes,no,unknown
2161,46,blue-collar,married,primary,-29,yes,no,unknown
2162,28,admin.,married,secondary,957,yes,yes,unknown
2163,31,blue-collar,married,secondary,297,yes,no,unknown
2164,40,services,single,secondary,888,yes,no,unknown
2165,37,blue-collar,single,secondary,115,yes,no,unknown
2166,29,blue-collar,married,secondary,177,yes,no,unknown
2167,29,blue-collar,married,secondary,-28,yes,no,unknown
2168,24,blue-collar,married,secondary,951,yes,no,unknown
2169,32,admin.,single,secondary,5,yes,no,unknown
2170,26,admin.,single,secondary,586,yes,yes,unknown
2171,47,entrepreneur,married,unknown,-1445,yes,no,unknown
2172,26,blue-collar,single,secondary,-23,yes,no,unknown
2173,28,blue-collar,single,secondary,-284,yes,no,unknown
2174,58,blue-collar,married,secondary,1166,yes,no,unknown
2175,35,management,single,tertiary,244,yes,no,unknown
2176,29,services,single,secondary,-72,yes,no,unknown
2177,56,blue-collar,married,primary,1399,yes,no,unknown
2178,43,blue-collar,married,primary,0,yes,no,unknown
2179,45,blue-collar,married,secondary,431,yes,no,unknown
2180,31,admin.,single,secondary,130,yes,yes,unknown
2181,34,blue-collar,married,secondary,187,yes,no,unknown
2182,32,management,married,primary,142,yes,no,unknown
2183,33,technician,single,secondary,14,yes,no,unknown
2184,28,technician,single,secondary,-219,yes,no,unknown
2185,43,admin.,single,secondary,275,yes,no,unknown
2186,49,services,single,secondary,5028,yes,no,unknown
2187,27,services,single,secondary,118,yes,yes,unknown
2188,30,services,single,secondary,290,yes,no,unknown
2189,32,blue-collar,married,primary,1064,yes,no,unknown
2190,37,services,divorced,secondary,904,yes,no,unknown
2191,31,technician,single,secondary,628,yes,no,unknown
2192,56,retired,married,primary,13,yes,no,unknown
2193,26,technician,married,tertiary,450,yes,yes,unknown
2194,43,blue-collar,married,secondary,-63,yes,no,unknown
2195,48,technician,divorced,secondary,164,yes,no,unknown
2196,31,blue-collar,single,primary,985,yes,no,unknown
2197,36,services,single,secondary,616,yes,yes,unknown
2198,24,blue-collar,married,secondary,237,yes,no,unknown
2199,29,unemployed,married,secondary,380,no,yes,unknown
2200,23,admin.,single,secondary,290,yes,no,unknown
2201,54,entrepreneur,divorced,secondary,104,yes,no,unknown
2202,24,blue-collar,single,secondary,117,yes,yes,unknown
2203,25,technician,single,secondary,276,yes,no,unknown
2204,36,technician,single,secondary,-475,yes,no,unknown
2205,40,management,single,unknown,838,yes,no,unknown
2206,29,admin.,single,secondary,382,yes,no,unknown
2207,29,admin.,married,primary,624,yes,no,unknown
2208,48,blue-collar,single,primary,396,yes,no,unknown
2209,23,admin.,single,secondary,5,no,no,unknown
2210,37,admin.,single,secondary,18,no,no,unknown
2211,31,blue-collar,married,primary,-464,yes,yes,unknown
2212,29,services,divorced,secondary,330,yes,no,unknown
2213,56,admin.,married,secondary,2087,yes,no,unknown
2214,28,services,single,secondary,-260,yes,no,unknown
2215,44,blue-collar,married,secondary,236,yes,no,unknown
2216,48,blue-collar,married,secondary,684,yes,yes,unknown
2217,30,blue-collar,married,secondary,458,yes,no,unknown
2218,32,unemployed,married,primary,324,yes,no,unknown
2219,41,blue-collar,married,primary,1052,yes,yes,unknown
2220,30,management,divorced,secondary,37,no,no,unknown
2221,37,blue-collar,married,secondary,454,yes,no,unknown
2222,30,blue-collar,single,secondary,573,yes,no,unknown
2223,28,technician,single,secondary,34,yes,no,unknown
2224,33,technician,single,secondary,341,no,yes,unknown
2225,41,blue-collar,married,unknown,31,no,no,unknown
2226,42,management,married,secondary,-189,yes,no,unknown
2227,50,admin.,single,secondary,424,yes,no,unknown
2228,23,student,single,tertiary,250,yes,no,unknown
2229,38,services,married,secondary,3165,yes,no,unknown
2230,31,blue-collar,divorced,secondary,387,yes,no,unknown
2231,35,admin.,single,secondary,855,yes,no,unknown
2232,52,admin.,divorced,secondary,944,yes,no,unknown
2233,36,blue-collar,married,secondary,134,no,no,unknown
2234,28,blue-collar,single,secondary,2845,yes,no,unknown
2235,27,management,single,tertiary,2420,yes,no,unknown
2236,24,student,single,tertiary,1535,yes,no,unknown
2237,45,management,single,tertiary,0,no,no,unknown
2238,39,technician,married,secondary,504,yes,no,unknown
2239,38,blue-collar,single,secondary,-329,yes,no,unknown
2240,24,blue-collar,married,secondary,94,yes,no,unknown
2241,35,management,divorced,tertiary,538,yes,no,unknown
2242,32,admin.,divorced,secondary,-18,yes,no,unknown
2243,48,housemaid,divorced,primary,26,yes,no,unknown
2244,36,entrepreneur,married,primary,177,yes,no,unknown
2245,46,blue-collar,married,primary,633,yes,no,unknown
2246,28,technician,single,secondary,205,yes,no,unknown
2247,50,admin.,married,secondary,1114,yes,yes,unknown
2248,44,blue-collar,married,secondary,78,yes,no,unknown
2249,38,management,married,tertiary,762,yes,no,unknown
2250,33,self-employed,married,primary,1862,yes,no,unknown
2251,57,management,single,tertiary,73,no,no,unknown
2252,40,technician,married,secondary,2576,yes,yes,unknown
2253,42,management,married,primary,470,yes,no,unknown
2254,32,services,married,secondary,206,yes,yes,unknown
2255,55,blue-collar,married,primary,0,yes,yes,unknown
2256,25,blue-collar,married,secondary,-76,yes,no,unknown
2257,42,management,divorced,tertiary,1750,yes,no,unknown
2258,23,admin.,single,secondary,1104,yes,no,unknown
2259,31,blue-collar,married,secondary,286,yes,yes,unknown
2260,21,student,single,unknown,137,yes,no,unknown
2261,34,admin.,married,secondary,247,yes,yes,unknown
2262,46,entrepreneur,married,tertiary,-43,no,no,unknown
2263,55,blue-collar,married,primary,309,yes,no,unknown
2264,33,entrepreneur,single,secondary,339,yes,no,unknown
2265,47,self-employed,divorced,secondary,218,yes,no,unknown
2266,33,management,single,tertiary,4128,yes,no,unknown
2267,40,management,single,tertiary,867,yes,yes,unknown
2268,32,management,single,tertiary,1345,yes,no,unknown
2269,48,technician,divorced,secondary,40,no,no,unknown
2270,32,admin.,single,secondary,1466,yes,no,unknown
2271,26,blue-collar,single,secondary,96,yes,no,unknown
2272,38,blue-collar,married,secondary,332,yes,no,unknown
2273,46,services,married,secondary,1474,yes,no,unknown
2274,49,blue-collar,married,secondary,783,yes,no,unknown
2275,33,management,single,tertiary,239,no,no,unknown
2276,45,blue-collar,married,secondary,27,yes,no,unknown
2277,32,management,married,tertiary,-24,yes,no,unknown
2278,39,blue-collar,married,secondary,23,yes,no,unknown
2279,53,blue-collar,married,primary,6386,yes,no,unknown
2280,28,unemployed,single,secondary,-353,yes,no,unknown
2281,31,admin.,married,secondary,-474,yes,no,unknown
2282,34,entrepreneur,single,tertiary,714,yes,no,unknown
2283,40,blue-collar,married,primary,570,yes,no,unknown
2284,29,blue-collar,single,secondary,16,no,no,unknown
2285,34,admin.,single,secondary,1504,yes,no,unknown
2286,38,management,married,tertiary,551,yes,no,unknown
2287,31,services,married,secondary,-759,yes,no,unknown
2288,32,technician,divorced,secondary,1097,yes,no,unknown
2289,31,services,married,secondary,520,yes,no,unknown
2290,53,blue-collar,single,unknown,0,no,no,unknown
2291,38,blue-collar,single,unknown,573,yes,no,unknown
2292,57,blue-collar,married,primary,0,yes,no,unknown
2293,58,entrepreneur,married,tertiary,146,yes,no,unknown
2294,50,blue-collar,married,primary,-37,yes,no,unknown
2295,36,blue-collar,single,secondary,90,yes,no,unknown
2296,46,blue-collar,married,primary,0,yes,no,unknown
2297,39,admin.,single,secondary,1242,yes,no,unknown
2298,31,admin.,single,secondary,98,yes,yes,unknown
2299,44,management,single,tertiary,295,yes,no,unknown
2300,53,admin.,married,secondary,465,no,yes,unknown
2301,35,technician,married,tertiary,1473,yes,no,unknown
2302,40,blue-collar,married,secondary,3122,yes,no,unknown
2303,30,technician,single,secondary,317,yes,no,unknown
2304,33,blue-collar,divorced,secondary,176,yes,no,unknown
2305,39,blue-collar,married,secondary,661,yes,no,unknown
2306,25,admin.,single,secondary,1,yes,yes,unknown
2307,35,blue-collar,married,primary,-12,yes,no,unknown
2308,43,blue-collar,married,primary,1401,yes,no,unknown
2309,41,entrepreneur,married,tertiary,171,yes,no,unknown
2310,55,blue-collar,married,primary,431,yes,no,unknown
2311,49,technician,divorced,secondary,265,yes,no,unknown
2312,30,self-employed,married,tertiary,227,yes,yes,unknown
2313,37,blue-collar,single,secondary,336,yes,no,unknown
2314,46,unemployed,divorced,secondary,41,yes,no,unknown
2315,36,blue-collar,married,secondary,1554,yes,no,unknown
2316,45,services,single,secondary,141,yes,no,unknown
2317,48,blue-collar,married,primary,762,yes,no,unknown
2318,22,housemaid,single,secondary,650,yes,no,unknown
2319,46,admin.,married,secondary,250,no,no,unknown
2320,39,blue-collar,married,secondary,130,yes,no,unknown
2321,56,admin.,married,secondary,11,no,no,unknown
2322,35,management,divorced,tertiary,36,yes,no,unknown
2323,45,blue-collar,married,primary,333,yes,no,unknown
2324,28,technician,married,secondary,487,yes,no,unknown
2325,32,admin.,single,tertiary,594,yes,no,unknown
2326,52,services,married,tertiary,1135,yes,yes,unknown
2327,26,admin.,divorced,secondary,-3,yes,no,unknown
2328,22,blue-collar,single,primary,-168,yes,no,unknown
2329,35,blue-collar,married,primary,414,no,no,unknown
2330,44,technician,single,tertiary,166,yes,no,unknown
2331,31,blue-collar,married,secondary,472,yes,no,unknown
2332,28,blue-collar,married,secondary,-95,yes,no,unknown
2333,23,technician,single,secondary,158,yes,no,unknown
2334,26,technician,single,secondary,8,no,no,unknown
2335,31,admin.,single,secondary,296,yes,no,unknown
2336,27,admin.,single,secondary,-541,yes,yes,unknown
2337,34,services,single,secondary,23,no,no,unknown
2338,25,blue-collar,single,primary,17,yes,no,unknown
2339,25,blue-collar,single,secondary,335,yes,no,unknown
2340,22,services,single,secondary,395,yes,no,unknown
2341,37,blue-collar,divorced,secondary,178,yes,no,unknown
2342,26,entrepreneur,single,secondary,101,yes,no,unknown
2343,32,blue-collar,married,secondary,-428,yes,no,unknown
2344,26,technician,single,secondary,24299,yes,no,unknown
2345,27,blue-collar,single,secondary,181,no,no,unknown
2346,22,services,married,secondary,83,yes,no,unknown
2347,32,technician,married,secondary,175,yes,no,unknown
2348,33,management,divorced,secondary,5,yes,no,unknown
2349,34,admin.,married,secondary,3185,yes,no,unknown
2350,31,blue-collar,married,secondary,2577,yes,no,unknown
2351,28,technician,single,secondary,216,yes,no,unknown
2352,37,blue-collar,married,secondary,166,yes,no,unknown
2353,45,blue-collar,married,primary,323,yes,no,unknown
2354,31,management,married,tertiary,334,yes,no,unknown
2355,48,entrepreneur,married,secondary,86,yes,no,unknown
2356,24,admin.,single,secondary,845,yes,no,unknown
2357,24,technician,single,secondary,-126,yes,yes,unknown
2358,45,services,married,secondary,-3,yes,no,unknown
2359,26,services,married,secondary,54,yes,no,unknown
2360,24,technician,single,secondary,-192,yes,no,unknown
2361,29,blue-collar,married,secondary,125,yes,no,unknown
2362,34,blue-collar,single,primary,2146,yes,no,unknown
2363,30,technician,single,tertiary,-522,yes,no,unknown
2364,21,student,single,secondary,99,yes,no,unknown
2365,42,blue-collar,married,secondary,-1664,yes,no,unknown
2366,32,unemployed,married,secondary,2,yes,no,unknown
2367,40,services,married,secondary,2172,yes,yes,unknown
2368,33,management,single,tertiary,168,yes,no,unknown
